KIC,dnu,dnu_err,numax,numax_err,metallicity,metallicity_err,radius
12216750,8.72,0.17,95.57,1.88,-0.06,0.06,6.48
12118044,5.94,0.12,64.6,1.42,0.03,0.05,9.9
12117790,9.44,0.19,113.51,3.35,0.01,0.05,6.68
12117920,4.01,0.18,36.4,1.8,0.09,0.05,11.43
12164879,4.75,0.08,53.08,2.66,0,0.05,13.02
12116393,6.24,0.14,61.09,1.36,-0.04,0.06,8.01
12117099,3.9,0.16,29.6,0.81,-0.6,0.08,10.31
12067001,4.53,0.09,42.61,1.33,-0.22,0.06,11.07
10727789,12.79,0.24,164.74,3.1,-0.14,0.06,5.38
10662618,3.93,0.08,31.55,0.92,-0.04,0.06,10.59
10793771,6.64,0.18,78.09,1.93,0.14,0.05,9.24
10728179,4.25,0.09,37.45,0.81,-0.1,0.06,10.95
10793890,8.54,0.17,103.76,6.64,0.02,0.05,8
10793872,14.85,1.18,181.43,3.39,-0.23,0.06,4.12
10858331,3.8,0.08,28.24,1.19,-0.4,0.07,10.38
10858675,8.07,0.16,87.5,2.1,-0.05,0.06,6.92
10858520,3.78,0.1,33.87,0.73,0.17,0.05,11.92
10973854,3.55,0.08,31.07,0.7,0.04,0.05,12.49
10972858,3.73,0.13,30.75,0.73,-0.25,0.06,11.18
10532751,8.29,0.15,101.1,1.97,0.03,0.05,7.88
10598558,4.51,0.12,42.85,1.14,-0.05,0.06,11.11
10597648,3.93,0.09,34.86,0.78,0.32,0.04,11.26
10533369,4.27,0.09,40.78,1.85,0.16,0.05,11.59
11029151,4.23,0.1,36.54,0.93,0.01,0.05,10.57
11028575,4.27,0.09,36.98,2.32,-0.12,0.06,10.6
11028372,4.54,0.11,39.48,0.94,-0.38,0.07,9.92
10918731,4.6,0.09,45.86,0.95,0.22,0.05,11.17
10974984,3.82,0.08,33.37,0.83,0.29,0.04,11.62
10975126,4,0.09,29.95,1.02,-0.33,0.07,10.14
10796378,4.7,0.12,41.5,0.96,-0.42,0.07,9.67
10859779,7.26,0.15,79.36,3.63,0.19,0.05,7.47
10859941,3.96,0.09,30.64,0.79,-0.13,0.06,10.33
10860146,3.52,0.08,23.99,1.19,0.2,0.05,
10863535,1.35,0.03,9.12,0.5,-0.04,0.06,24.59
10977629,3.15,0.07,24.47,0.53,0.14,0.05,12.47
10921258,3,0.06,25.83,0.61,0.19,0.05,14.39
10977040,5.06,0.1,51.72,1.44,-0.11,0.06,10.94
10667966,4.05,0.1,31.62,0.95,-0.43,0.07,10.23
10799530,4.3,0.1,36.9,0.71,0.11,0.05,10.36
10667886,4.15,0.09,35.7,1.47,0.19,0.05,10.66
10733897,4.98,0.1,46.14,1.06,0.07,0.05,9.39
10734241,4.22,0.11,35.07,1.35,-0.08,0.06,10.07
10735077,3.81,0.09,29.1,1.69,-0.03,0.06,10.64
10669876,2.55,0.06,18.84,0.52,-0.06,0.06,14.27
10604255,3.65,0.15,30.66,0.99,-0.08,0.06,11.7
10801063,15.96,0.3,198.14,3.77,-0.32,0.07,4.08
10669123,4.26,0.09,36.07,1.07,-0.1,0.06,10.48
10979181,1.62,0.04,10.95,0.32,0.07,0.05,20.82
10864711,4.84,0.11,45.26,1.02,-0.07,0.06,9.87
10979258,4.21,0.09,37.44,0.92,0.14,0.05,10.64
10978857,4.13,0.09,37.22,0.92,0.37,0.04,11.14
10604460,3.79,0.08,30.28,0.9,0.14,0.05,10.81
10670445,3.56,0.08,30.75,0.74,-0.12,0.06,12.36
10736390,5.78,0.11,67.66,4.66,0.16,0.05,11.41
10735926,4.26,0.09,35.82,1.06,-0.16,0.06,10.45
10866694,3.88,0.11,31.9,0.87,0.12,0.05,10.86
10866415,8.7,0.17,94.42,1.89,-0.01,0.06,6.42
10802837,5.47,0.1,57.33,1.21,0.19,0.05,10.33
10979742,6.72,0.12,73.39,3.39,0.23,0.05,8.03
11087371,11.57,0.22,145.5,4.73,0.21,0.05,5.54
11033302,4.21,0.11,36.28,1.75,-0.25,0.06,10.81
11141358,3.57,0.07,27.61,1.06,-0.3,0.07,11.34
11033569,8.23,0.17,94.01,1.85,0.32,0.04,7.06
10271721,1.38,0.04,9.19,0.21,0.02,0.05,23.98
10206307,4.06,0.09,31.85,0.76,-0.19,0.06,10.15
10206840,3.57,0.12,29.66,1.24,-0.13,0.06,12
10073828,3.76,0.08,30.44,1.19,0.19,0.05,10.99
10468528,3.66,0.08,27.75,0.63,-0.12,0.06,10.87
10403036,1.68,0.04,10.07,0.25,-0.57,0.08,17.92
10402819,5.28,0.1,54.24,1.47,0.05,0.05,10.35
10467570,4.04,0.09,33.14,1.37,0.21,0.05,10.45
10402207,5.24,0.11,46.77,1.06,-0.56,0.08,8.84
10403323,3.72,0.08,29.1,1.54,0,0.05,10.98
10337695,0.38,0.06,2.37,0.08,-0.18,0.06,55.72
10272641,8.09,0.22,89.01,1.89,-0.18,0.06,7.11
10207321,6.66,0.14,64.56,1.37,-0.47,0.07,7.52
10207059,7.38,0.13,84.67,2.96,-0.05,0.06,8.4
10534826,3.18,0.08,27.53,0.66,0.08,0.05,13.72
10339590,0.64,0.02,3.09,0.13,-0.2,0.06,36.17
10469976,4.84,0.11,51.16,1.34,-0.02,0.06,11.59
10599712,4.1,0.1,38.29,0.91,0,0.05,11.82
10273236,3.78,0.1,34.78,0.64,-0.01,0.06,12.43
10534891,5.04,0.13,53.14,1.36,0.07,0.05,11.21
10405285,2.52,0.07,19.1,0.64,-0.23,0.06,15.06
10666932,3.93,0.09,36.59,0.98,0.16,0.05,12.2
10600926,4.04,0.16,30.04,1.48,-0.24,0.06,10.17
10602976,4.06,0.14,36.21,0.79,-0.17,0.06,11.5
10602374,4.13,0.09,37.64,0.91,0.17,0.05,11.37
10602015,17.98,2.24,195.51,9.09,0.1,0.05,
10537376,4.1,0.09,33.48,1.33,-0.1,0.06,10.34
10472318,11.58,0.24,143.94,2.77,0.3,0.04,5.5
10474071,7.31,0.2,90.77,2.21,0.16,0.05,9.3
10603170,4.38,0.1,41.46,1.07,0.02,0.05,11.19
10603958,3.62,0.19,29.56,0.81,-0.38,0.07,11.5
10473692,8.62,0.17,92.47,1.86,-0.06,0.06,6.41
10604054,6.02,0.16,59.79,3.25,0.21,0.05,8.05
11353313,10.61,0.25,125.18,2.38,-0.41,0.07,5.93
11299941,4.07,0.1,28.72,1.19,0.25,0.05,
11509792,2.78,0.06,20.11,0.46,-0.2,0.06,13.38
11352756,3.68,0.09,29.04,1.14,-0.01,0.06,11.04
11404925,4.06,0.09,32.93,1.49,0.09,0.05,10.39
11247049,3.87,0.09,34.2,1.03,0.02,0.05,11.91
10978085,3.22,0.08,23.99,0.6,-0.39,0.07,12.2
10922821,4.04,0.1,33.15,1.34,0.21,0.05,10.49
10922840,7.01,0.14,75.63,1.8,0.37,0.04,7.74
11351480,4.07,0.1,35.42,1,-0.29,0.07,10.98
11298714,5.88,0.13,61.58,1.43,0.31,0.04,9.01
11298776,4.54,0.1,39.61,0.92,-0.2,0.06,9.81
11298371,4.1,0.12,35.55,0.83,0.09,0.05,10.9
11298561,4.31,0.1,36.75,0.96,0.04,0.05,10.26
11085809,4.16,0.11,35.9,0.79,-0.3,0.07,10.99
11138375,3.9,0.13,34.66,1.36,-0.12,0.06,11.75
11031040,3.4,0.07,27.33,0.76,-0.03,0.06,12.08
11191557,6.25,0.12,70.17,1.73,0,0.05,9.62
11245339,4.72,0.11,41.9,1.28,0.11,0.05,9.78
11245234,4.06,0.09,32.81,1.01,-0.02,0.06,10.33
11244968,2.68,0.05,23.58,1.3,-0.09,0.06,16.45
11191444,3.27,0.07,26.98,1.32,-0.05,0.06,12.5
11245307,3.66,0.08,33.96,0.85,0.03,0.05,12.89
11244855,4.25,0.09,36.37,0.95,-0.15,0.06,10.64
11190322,5.45,0.12,54.54,1.1,0.16,0.05,9.35
11084620,2.9,0.08,25.99,0.8,0.36,0.04,15.72
11190768,17.24,0.32,226.91,4.75,0.06,0.05,3.96
11083701,3.83,0.12,31.81,0.89,-0.02,0.06,11.12
11084022,4.64,0.1,44.85,1.28,-0.05,0.06,10.61
11029423,7.23,0.15,74.38,1.66,-0.07,0.06,7.29
11083613,8.67,0.18,89.1,3.83,-0.52,0.07,5.98
11029396,3.94,0.1,28.27,1.06,0.08,0.05,
11296211,4.04,0.08,33.07,0.68,-0.58,0.08,10.5
11243761,1.52,0.04,9.88,0.54,-0.25,0.06,20.2
11083319,4.21,0.08,44.44,3.08,-0.28,0.07,14.09
11136854,7.27,0.14,93.23,2.98,0.04,0.05,9.52
11136578,8.16,0.17,87.32,3.32,0.06,0.05,6.62
11136139,4.28,0.09,37.9,1.76,-0.24,0.06,10.27
11135910,3.65,0.1,29.5,0.66,-0.53,0.07,11.42
11189432,5.48,0.11,53.41,1.56,-0.06,0.06,9.01
11242934,3.76,0.09,31.15,0.7,0.06,0.05,11.31
11135168,4.68,0.11,44.24,1,-0.01,0.06,10.99
11188067,4.28,0.08,38.13,0.87,0.13,0.05,10.75
11134982,8.61,0.15,102.31,2.38,0.12,0.05,7.29
11135286,4.14,0.09,37.54,1.19,0.24,0.05,11.19
11188479,2.52,0.07,18.31,0.74,-0.21,0.06,14.16
11081838,3.75,0.08,30.2,1.23,0.12,0.05,10.96
11027005,6.37,0.78,52.69,3.24,0.05,0.05,
11027708,0.55,0.04,2.63,0.29,-0.21,0.06,40.78
11027337,3.87,0.08,33.77,0.86,-0.06,0.06,11.43
11081517,4.04,0.13,37.62,1.02,0.02,0.05,11.94
11293804,3.94,0.09,34.1,0.83,-0.02,0.06,11.13
11241927,2.96,0.06,25.84,0.88,0.04,0.05,14.7
11294218,2.43,0.06,18.76,0.45,-0.04,0.06,15.92
11294409,3.92,0.09,31.87,0.79,-0.02,0.06,10.7
11134608,1.32,0.03,8.63,0.42,-0.13,0.06,24.22
11133969,3.64,0.09,30.54,0.89,-0.27,0.06,11.79
11026472,7.71,0.17,91.66,2.42,0.14,0.05,8.18
11080937,2.69,0.07,20.87,1.43,0.11,0.05,14.35
10792949,4.59,0.1,45.16,2.56,0.32,0.04,11.23
10857953,4.02,0.09,32.96,1.23,0.12,0.05,10.46
10971893,4.18,0.1,35.72,0.79,0.23,0.05,10.54
10972288,6.33,0.13,66.01,1.54,0.34,0.04,8.27
11612320,1.47,0.04,9.38,0.32,-0.24,0.06,21.18
11612171,3.97,0.11,36.47,1.17,0.15,0.05,11.94
11612603,8.05,0.19,84.8,1.84,-0.01,0.06,6.68
11663387,4.07,0.09,34.12,1.24,0.02,0.05,10.54
11509207,5.59,0.11,52.53,1.99,-0.35,0.07,8.48
11509608,4.08,0.09,33.94,0.79,-0.83,0.08,10.65
11509277,4.58,0.09,45.13,1.81,0.16,0.05,11.25
11560939,12.55,0.26,162.7,6.01,0,0.05,5.44
11561379,8.52,0.16,89.66,1.78,-0.29,0.07,6.49
11560465,6.05,0.14,58.85,1.47,-0.12,0.06,8.12
11456449,9.33,0.17,113.39,2.17,0.02,0.05,6.87
11508970,3.93,0.11,34.47,1.51,-0.14,0.06,11.79
11612200,4.12,0.17,31.27,0.99,-0.3,0.07,10.17
11559818,3.69,0.07,39.67,1.88,0.38,0.04,
11403437,4.13,0.08,34.15,0.69,-0.04,0.06,10.4
11351140,4.07,0.11,32.8,1.08,-0.32,0.07,10.34
11350954,2.44,0.05,20.96,0.6,-0.22,0.06,18.07
11455925,4.06,0.13,30.54,0.74,-0.23,0.06,10.06
11403918,6.94,0.14,72.56,1.75,0.18,0.05,7.63
11559645,3.08,0.06,26.17,0.94,-0.25,0.06,14.2
11661782,5.76,0.12,60.55,1.3,-0.3,0.07,9.6
11559478,4.04,0.08,36.26,1.13,-0.31,0.07,11.82
11455176,4.22,0.08,36.35,1.29,-0.22,0.06,10.81
11403129,4.15,0.08,42.73,1.46,0.31,0.04,12.83
11453905,2.29,0.05,17.14,0.72,-0.23,0.06,16.36
11401466,4.12,0.1,35.83,0.84,-0.13,0.06,11.1
11506212,4.25,0.09,37.93,0.92,0.1,0.05,10.64
11453627,3.96,0.11,31.1,0.8,-0.06,0.06,10.37
11349490,11.02,0.21,131.47,2.54,-0.07,0.06,5.67
11349014,3.86,0.16,30.42,1.41,-0.55,0.07,10.7
11295851,7.54,0.15,93.88,2.02,-0.01,0.06,9.05
11295350,3.19,0.11,25.28,0.71,-0.17,0.06,12.85
11295720,5.36,0.11,53.25,1.4,-0.06,0.06,9.54
9517003,1.35,0.04,8.14,0.57,-0.47,0.07,21.12
9760904,3.81,0.19,30.57,1.05,-0.34,0.07,11.07
9700899,3.91,0.1,33.86,1.23,-0.01,0.05,11.32
9821622,5.91,0.19,63.72,1.49,-0.35,0.07,9.45
9761625,1.4,0.04,9.27,0.23,-0.22,0.06,23.71
9821783,4.13,0.09,35,1.02,-0.21,0.06,10.88
9881628,3.9,0.09,28.16,0.98,-0.39,0.07,10.21
9456153,4.14,0.1,33.52,0.71,-0.3,0.07,10.39
9517542,2.7,0.06,20.43,0.61,-0.1,0.06,14.19
9517698,4.55,0.11,42.22,0.94,0.03,0.05,10.87
9579328,3.79,0.08,33.45,0.72,0.45,0.04,
9882766,12.97,0.24,167.64,3.94,-0.08,0.06,5.32
9882550,4.3,0.09,36.74,0.9,-0.08,0.06,10.5
9883123,8.21,0.15,93.44,2.36,-0.09,0.06,7.31
9702057,3.55,0.08,27.77,0.9,0.09,0.05,11.31
9883214,3.77,0.11,28.64,1.53,-0.24,0.06,10.56
9762752,3.84,0.09,36.08,1.55,0.24,0.05,11.98
9641246,4.2,0.09,36.8,0.81,-0.03,0.06,10.87
9579860,5.91,0.12,54.82,1.06,-0.25,0.06,8.09
9640886,3.95,0.08,34.79,0.78,0.15,0.05,11.27
9518506,4.97,0.1,48.84,1.33,0,0.05,11
9580171,2.88,0.06,22.06,0.57,-0.12,0.06,13.4
9580407,3.99,0.12,29.8,1.27,-0.21,0.06,10.16
9641772,4.09,0.08,35.04,0.85,0.04,0.05,10.85
9518802,7.18,0.17,92,2.72,-0.07,0.06,9.48
9641484,4.1,0.08,36.16,0.82,-0.09,0.06,11.14
9580991,5.66,0.12,61.99,1.58,-0.11,0.06,10.29
9763419,4.03,0.08,33.39,0.93,0.02,0.05,10.61
9702841,4.23,0.09,39.76,1.49,0.13,0.05,11.39
9763796,12.32,0.23,145.76,3.2,-0.26,0.06,5.06
9824971,3.14,0.07,22.63,1.2,-0.22,0.06,12.12
9581445,5.71,0.13,61.44,1.36,0.18,0.05,9.65
9704258,5.8,0.17,52.95,1.17,-0.58,0.08,8.05
9764708,3.34,0.07,31.59,0.74,0,0.05,14.48
9825039,8.44,0.17,101.89,2.99,-0.05,0.06,7.69
9704676,4.39,0.12,40.38,0.94,-0.17,0.06,10.77
9644558,2.97,1.06,28.99,1.39,-0.36,0.07,18.37
9583430,7.75,0.15,99.73,2.46,0.28,0.04,8.93
9946773,2.79,1.18,29.78,2.04,-0.66,0.08,14.49
9705636,3.99,0.09,33.45,0.67,0.19,0.05,10.81
9705687,6.48,0.13,74.32,1.69,-0.24,0.06,9.51
9825822,1.09,0.03,6.25,0.48,0.2,0.05,25.29
9704774,4.06,0.09,35.08,1.39,0.01,0.05,11.13
9886274,4.7,0.12,42.07,0.95,-0.46,0.07,9.75
9645099,3.86,0.11,30.28,0.74,-0.3,0.07,10.76
9583720,5.66,0.15,55.11,2.17,0.04,0.05,8.67
9706209,3.93,0.1,30.8,0.87,-0.28,0.07,10.51
9706194,3.26,0.08,26.72,0.81,-0.13,0.06,12.78
9706585,3.99,0.09,29.98,1.49,-0.31,0.07,10.12
9767332,8.6,0.18,113.16,2.67,0.13,0.05,8.19
9887199,4.25,0.09,36.97,0.91,-0.07,0.06,10.81
9767051,2.75,0.07,21.25,0.76,0.08,0.05,
9766517,4.87,0.11,47.03,1.24,0.02,0.05,10.15
9887488,4.06,0.08,33.36,1.71,0.01,0.05,10.48
9887555,3.9,0.08,28.11,0.9,-0.4,0.07,10.2
9145861,10.74,0.19,133.32,2.63,0.29,0.04,5.94
9145781,17.58,0.62,242.05,5.93,0.05,0.05,4.06
9145955,10.93,0.23,129.69,2.52,-0.35,0.07,5.76
9145952,4.05,0.08,33.64,0.78,-0.1,0.06,10.61
9209471,3.34,0.07,25.96,0.71,-0.41,0.07,11.85
9079904,4.57,0.1,42.17,1.23,0.27,0.04,10.04
9395535,2.89,0.08,22.37,0.57,-0.3,0.07,13.56
9332840,4.41,0.08,40.39,1.17,0.14,0.05,10.78
9333290,2.93,0.06,23.86,0.63,-0.01,0.06,14.08
9333501,3.45,0.08,27.29,0.68,-0.57,0.08,11.77
9333184,4.02,0.09,32.5,0.99,-0.21,0.06,10.49
9456598,4.43,0.11,40.92,0.83,0.18,0.05,10.96
9396095,3.92,0.09,30.01,0.68,-0.18,0.06,10.34
9456478,2.54,0.06,20.54,0.63,-0.09,0.06,15.95
9146245,5.22,0.1,55.24,1.41,0.18,0.05,10.29
9080445,4.31,0.1,39.11,0.93,-0.15,0.06,11.11
9080175,5.31,0.11,47.91,1.05,-0.43,0.07,8.8
9080407,4.69,0.12,44.91,1.72,-0.18,0.06,10.45
9146423,2.36,0.05,18.81,0.55,-0.05,0.06,16.82
9396363,4.63,0.14,42.71,1.24,-0.03,0.06,10.85
9457108,8.23,0.17,91.44,1.75,0.34,0.04,6.84
9012783,3.99,0.09,37.78,1.71,0.17,0.05,11.6
9147335,5,0.13,49.63,1.27,0.1,0.05,10.58
9335191,4.07,0.09,33.24,0.9,-0.06,0.06,10.46
9211401,3.38,0.12,28.65,1.28,-0.11,0.06,13.02
9273827,8.64,0.21,111.01,3.27,-0.26,0.06,7.87
9334793,3.75,0.08,28.12,0.76,-0.4,0.07,10.5
9520156,4.3,0.14,31.33,1.21,-0.09,0.06,
9397110,4.26,0.1,39.2,1.33,-0.01,0.06,11.24
9336090,4.05,0.09,32.8,0.83,-0.28,0.06,10.46
9335570,4.21,0.1,37.67,1.34,-0.07,0.06,11.03
9335518,9.08,0.16,101.3,2.53,0.25,0.05,6.25
9335457,17.79,0.35,236.58,6.04,0.13,0.05,3.84
9520755,3.7,0.08,34.1,1.08,0.19,0.05,12.44
9582005,3.56,0.08,30.2,1.44,0.03,0.05,12.31
9521461,5.34,0.1,56.97,1.22,0.04,0.05,10.81
9643914,3.76,0.09,25.6,0.7,-0.25,0.06,
10268744,3.75,0.1,33.31,1.7,0.21,0.05,12.07
10202184,12.64,0.24,157.53,3.03,-0.27,0.06,5.2
10136291,4.07,0.09,33.86,0.75,-0.28,0.07,10.46
10071249,4.02,0.09,32.48,1.1,-0.27,0.06,10.54
10070717,4.05,0.09,32.75,1.08,-0.01,0.06,10.38
9946074,6.56,0.13,65.09,1.98,-0.41,0.07,7.84
10006852,6.75,0.12,77.41,1.93,-0.05,0.06,9.24
10005966,3.83,0.08,30.37,0.95,0.21,0.05,10.72
9946213,9.86,0.19,109.75,2.53,-0.18,0.06,5.9
10069277,3.49,0.09,27.61,0.87,-0.48,0.07,12.01
10068801,1.59,0.05,10.95,0.54,-0.04,0.06,20.9
10068810,5.32,0.11,48.41,0.98,-0.35,0.07,8.84
10069045,4.98,0.1,46.92,1.1,-0.11,0.06,9.73
9945290,4.35,0.08,37.56,0.79,0.08,0.05,10.29
10004975,0.48,0.18,3.32,0.13,-0.23,0.06,44.58
10005422,3.71,0.12,27.04,0.68,-0.52,0.07,10.51
9884818,4.22,0.08,35.12,1.17,-0.3,0.07,10.43
9884319,4.06,0.15,34.42,1.21,0.23,0.05,10.76
10068556,13.98,0.44,182.31,3.64,0.01,0.05,4.91
10267242,3.59,0.08,27.78,0.77,-0.05,0.06,11.16
10331610,4.14,0.11,31.96,0.84,-0.18,0.06,9.98
10200377,12.4,0.25,141.57,2.73,-0.65,0.08,4.87
10200093,4.05,0.08,33.41,1.16,0.04,0.05,10.54
10003419,4.08,0.1,36.15,1.25,0.05,0.05,11.21
10003497,3.33,0.08,27.18,0.96,-0.21,0.06,12.44
10067407,3.94,0.11,34.94,0.97,-0.39,0.07,11.53
10198496,17.73,0.36,236.68,7.43,0.24,0.05,3.93
10198761,5.19,0.11,49.79,1.28,-0.33,0.07,9.6
10199187,2.43,0.06,17.92,1.16,-0.31,0.07,14.62
10132247,6.47,0.13,61.78,1.67,-0.25,0.06,7.58
10066568,4.1,0.09,29.81,1.94,-0.74,0.08,9.9
9942816,4.45,0.1,40.23,0.97,-0.35,0.07,10.89
9882446,4.97,0.1,49.53,1.17,0.06,0.05,10.28
10065848,4.02,0.09,30.32,0.7,-0.42,0.07,9.96
10002647,4.26,0.1,37.61,0.96,-0.2,0.06,10.9
9882316,13.63,0.24,181.05,3.58,-0.35,0.07,5.34
10328946,4.03,0.09,33.03,0.96,0.06,0.05,10.51
10328498,4.48,0.12,43.31,1.01,-0.11,0.06,11.11
10263341,8.27,0.16,91.31,1.83,-0.15,0.06,6.99
9941713,4.73,0.11,47.75,1.21,-0.02,0.06,10.95
9881167,3.84,0.09,32.7,0.93,0,0.05,11.4
9942071,4.09,0.08,35.26,0.87,-0.13,0.06,11.09
10196630,3.18,0.07,24.09,0.72,-0.79,0.08,12.32
10196797,4.04,0.12,30.87,0.71,-0.23,0.06,10.06
10196240,4.04,0.1,34.66,0.77,0.06,0.05,11
10128629,4.15,0.09,38.53,1.81,-0.09,0.06,11.86
10000547,13.22,0.24,161.23,3.32,-0.27,0.06,4.91
9941242,2.28,0.07,16.23,0.46,-0.37,0.07,15.57
9941141,7.93,0.15,88.72,1.68,0.23,0.05,7.24
9820702,5.95,0.12,61.14,1.78,-0.16,0.06,8.98
10659100,3.25,0.07,26.63,1.21,0.04,0.05,12.92
10790301,3.78,0.08,30.75,0.81,-0.44,0.07,11
10528911,3.91,0.1,32.02,1.4,0.11,0.05,10.63
10659842,6.99,0.13,74.51,1.49,-0.28,0.06,8.06
10333131,12.62,0.22,161.53,3.51,0.08,0.05,5.42
10592335,5,0.1,50.3,1.26,0.07,0.05,10.27
10593078,15.35,0.29,203.91,4.17,0.14,0.05,4.56
10592802,4.05,0.09,29.93,1.71,-0.52,0.07,9.94
10592924,5.39,0.11,52.6,1.49,-0.32,0.07,9.54
10658726,8.84,0.18,99.63,3.65,-0.17,0.06,6.79
10657633,5,0.11,45.83,0.98,-0.54,0.07,9.55
10724027,3.93,0.09,31.66,0.99,-0.22,0.06,10.69
10723388,3.99,0.1,31.24,1.48,-0.15,0.06,10.32
10724041,4.02,0.09,33.53,1.05,0.2,0.05,10.64
10658326,8.08,0.16,89,1.97,-0.4,0.07,7.31
10332186,3.05,0.07,22.71,1.24,-0.07,0.06,12.5
10527754,5.94,0.12,60.05,1.19,0.26,0.05,8.65
10527661,4.45,0.13,31.48,0.82,-0.77,0.08,9.34
10592249,4.17,0.08,37.13,0.87,0.11,0.05,11
10463137,3.95,0.08,29.58,0.64,-0.41,0.07,10.23
10722175,9.44,0.2,114.46,2.6,0.1,0.05,6.58
10721900,3.93,0.1,36.77,0.84,0.15,0.05,12.26
10591093,12.54,0.23,162.68,4.63,-0.13,0.06,5.5
10396693,0.21,0.05,1.3,0.14,-0.58,0.08,79.95
10461323,8.68,1,84.14,4.03,0.08,0.05,
10461757,3.48,0.11,25.92,0.93,-0.47,0.07,11.35
10395638,4.45,0.09,42.4,2.37,0.09,0.05,10.94
10198347,4.53,0.09,40.1,1.49,-0.24,0.06,10.82
10395400,4.41,0.1,31.47,0.85,0.09,0.05,
10525475,4.29,0.09,39.19,1.15,-0.27,0.06,11.05
10656124,1.54,0.06,10.29,0.25,-0.16,0.06,21.21
10525282,4.11,0.12,35.48,1.02,-0.25,0.06,11.06
10525595,9.39,0.17,117.25,2.34,-0.03,0.06,7.09
10590683,3.72,0.09,27.15,0.57,-0.24,0.06,10.6
10459794,4.78,0.1,45.84,1.05,-0.07,0.06,10.28
10524715,6.27,0.12,62.91,1.65,-0.28,0.06,8.41
10394814,17.16,1.32,204.13,8.97,-0.21,0.06,3.89
10459696,5.88,0.13,61.05,1.46,0.11,0.05,8.98
10394570,3.97,0.09,34.06,1.17,0.14,0.05,11.17
8479182,3.95,0.09,33.92,1,-0.07,0.06,11.28
8414512,4.06,0.09,33.64,1.2,0.12,0.05,10.54
8543200,4.44,0.1,40.75,1.14,-0.13,0.06,10.93
8607581,4.35,0.1,35.83,1.26,-0.17,0.06,10.02
8673221,3.99,0.1,36.95,1.11,-0.04,0.06,12.12
8737032,4.43,0.09,42.28,0.9,-0.06,0.06,11.07
8802374,3.6,0.08,31.65,0.72,-0.28,0.06,12.6
8867740,2.94,0.08,22.2,0.73,-0.48,0.07,12.96
8543569,8.86,0.17,96.31,1.96,0.05,0.05,6.32
8543727,0.82,0.02,4.49,0.2,-0.18,0.06,32.05
8479383,4.04,0.09,32.05,0.78,-0.13,0.06,10.32
8868800,4.01,0.09,33.55,0.75,-0.12,0.06,10.98
8803432,3.98,0.09,31.88,0.7,-0.12,0.06,10.55
8738333,5.87,0.14,60.46,1.34,0.13,0.05,8.92
8480205,5.21,0.11,49.39,1.32,0.05,0.05,9.18
8480097,15.36,1.36,197.78,3.75,0.2,0.05,4.12
8479780,4.37,0.09,40.15,0.88,-0.24,0.06,11.19
8544483,5.74,0.15,54.66,1.34,-0.09,0.06,8.46
8674581,4.03,0.15,29.41,0.64,-0.14,0.06,
8739118,3.84,0.1,34.02,0.99,0.29,0.04,11.68
8738834,3.81,0.08,31.86,0.93,0.33,0.04,11.15
8869611,8.84,0.17,95.82,1.89,-0.08,0.06,6.31
